,x,y,xt,yt
104,213.18484497070312,160.27867126464844,216.4842529296875,159.45155334472656
105,183.9716033935547,161.4065399169922,186.107666015625,161.49441528320312
106,455.8871154785156,158.56072998046875,459.7571105957031,157.047119140625
107,490.19830322265625,158.57589721679688,493.373779296875,157.62380981445312
108,422.3753356933594,156.72279357910156,427.1645202636719,154.27957153320312
109,124.37031555175781,134.09799194335938,124.71980285644531,134.21153259277344
110,34.94802474975586,133.88796997070312,35.100303649902344,133.9782257080078
111,153.34585571289062,133.56475830078125,153.83334350585938,133.70541381835938
112,95.27916717529297,133.65504455566406,95.56428527832031,133.85472106933594
113,65.67930603027344,133.2891845703125,65.8716049194336,133.53836059570312
114,329.3391418457031,126.455322265625,333.1221008300781,121.64381408691406
115,391.2821350097656,126.87939453125,395.23297119140625,123.42546081542969
116,359.7423095703125,126.7158203125,363.79229736328125,122.48358154296875
117,456.2223205566406,127.83519744873047,459.28759765625,126.17375183105469
118,423.032470703125,127.28677368164062,426.4164123535156,124.754150390625
119,489.99346923828125,127.60405731201172,492.5379638671875,126.49783325195312
120,124.21196746826172,105.44251251220703,124.22708129882812,105.55679321289062
121,210.857177734375,103.14817810058594,210.9147491455078,102.31373596191406
122,182.090087890625,103.9295654296875,182.12315368652344,103.60259246826172
123,152.9844970703125,104.4544677734375,152.96852111816406,104.44217681884766
124,95.183349609375,104.3677749633789,95.0638198852539,104.48531341552734
125,65.87090301513672,104.4144515991211,65.89796447753906,104.63116455078125
126,297.7486877441406,99.39070892333984,298.99481201171875,95.97388458251953
127,328.4898986816406,98.68909454345703,330.4175109863281,95.11966705322266
128,359.1150207519531,98.2183837890625,361.3743591308594,94.77549743652344
129,390.6481018066406,97.65689849853516,393.0015563964844,94.81227111816406
130,455.84710693359375,97.81986236572266,457.9727478027344,96.33090209960938
131,489.6237487792969,96.95257568359375,491.7056884765625,95.68749237060547
132,124.53416442871094,75.77948760986328,124.33521270751953,75.90121459960938
133,181.92337036132812,74.81148529052734,181.5928192138672,74.39224243164062
134,153.17868041992188,75.30072021484375,152.82955932617188,75.22637939453125
135,358.9090270996094,69.3572006225586,360.1566162109375,66.77840423583984
136,390.4281005859375,68.76972961425781,391.9376525878906,66.57418823242188
137,422.6902770996094,68.29727935791016,424.2825622558594,66.52432250976562
138,455.57794189453125,67.51886749267578,457.06268310546875,66.19955444335938
139,96.01319885253906,47.0651969909668,95.66153717041016,47.17728042602539
140,422.4076843261719,38.85846710205078,423.26251220703125,37.73225402832031
141,93.4382553100586,17.23986053466797,92.98538208007812,17.27890396118164
142,488.24798583984375,7.034587860107422,488.64697265625,6.743401050567627
